division,department,category,incident_id,incident_number,incident_type_id,request_type,request_status,request_priority,reported_date,sr_creation_channel,created_by_user,resolution_code,group_name,address1,city,state,parcel_id,sub_district,creation_date,last_update_date,last_updated_by,ce_category,full_address,location1,_100_block_coordinate,:@computed_region_me95_vbw4,:@computed_region_xf2b_u4zq,:@computed_region_gxae_hf64,:@computed_region_stch_rtry,:@computed_region_dgrd_cuuf,:@computed_region_fuzm_ngj2,:@computed_region_scpn_qt9a,:@computed_region_y9za_kydd,resolution_summary,close_date,postal_code,target_block,:@computed_region_m99d_em2n,followup_date,:@computed_region_nyzj_ikpv,district,map_page,area,zone,collection_day,:@computed_region_qnac_u4vd,resolution_code_meaning,incident_resolved_date,last_modified_date,next_open_task_date,owner_name,street_name,number_of_tasks,created_by,last_update_login,swm_code
Solid Waste Management,Solid Waste Management,Cart Maintenance,7138889,7138889,10430,SWM-Cart Repair,Closed,Low,2024-07-15T14:47:00.000,WEB,Esri_Anonymous,SWMDEV,CITIZEN,"3246 Estes St, Memphis, TN, 38115, USA",MEMPHIS,Tennessee,,,2024-07-15T15:06:36.000,2024-07-17T09:17:32.000,Esri_Anonymous,,"3246 Estes St, Memphis, TN, 38115, USA","{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.883540035, 35.060097014]}",3,8,6,1,2,7,1,6,RT137085,2024-07-17T00:00:00.000,,,,,,,068,E,E2,Monday,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7059137,7059137,10400,CE-Vehicle Violations,Closed,Low,2024-02-26T15:36:00.000,WEB,Sa_GISIdentitystore,JA,Memphis,4456 RYANS RUN RD,MEMPHIS,Tennessee,093402 D00018,,2024-02-26T15:44:20.000,2024-03-05T11:16:48.000,Esri_Anonymous,NOT-CATEGORIZED,4456 RYANS RUN RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.871371021, 35.026921986]}",3,8,6,1,2,7,1,6,REFER TO SR 5974018,,,,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Inspection-Vehicle,7050595,7050595,10400,CE-Vehicle Violations,Closed,Medium,2024-02-01T18:00:00.000,WEB,Sa_GISIdentitystore,DISM,MEMPHIS,5967 BAIRD DR,MEMPHIS,TN,081041  00004,2-2,2024-02-02T14:53:24.000,2024-07-17T16:17:58.000,Esri_Anonymous,NOT-CATEGORIZED,5967 BAIRD DR,"{'type': 'Point', 'coordinates': [-89.8493311, 35.0825004]}","{'type': 'Point', 'coordinates': [-89.864404988, 35.08451002]}",18,4,2,2,,2,2,5,PRINTED AND MAILED 2/14/2024 Z.WILLIAMS,,38119,216,,2024-09-09T23:00:00.000,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Miscellaneous,7043050,7043050,10396,CE-Code Miscellaneous,Closed,Low,2024-01-17T16:43:00.000,WEB,Sa_GISIdentitystore,CVOM,Memphis,1345 E RAINES RD,MEMPHIS,Tennessee,079004  00001C,,2024-01-17T16:47:47.000,2024-01-31T14:25:36.000,Esri_Anonymous,NOT-CATEGORIZED,1345 E RAINES RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.019214968, 35.035244001]}",3,8,6,1,2,7,1,6,,,,,,,,,,,,,,,,,,,,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7146321,7146321,10205,CW-Weeds Vacant Lots,Closed,Low,2024-07-31T10:54:00.000,WEB,,WEEDS CUT UNBILLABLE,Memphis,4303 HILLBROOK RD,MEMPHIS,Tennessee,076035  00099,,2024-08-01T09:27:58.000,2024-09-19T09:07:27.000,,,4303 HILLBROOK RD,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.059929979, 35.031178987]}",3,8,6,1,2,7,1,6,,2024-09-19T00:00:00.000,,169,,,,,,,,,,,2024-09-11T08:01:00.000,,,,,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7153317,7153317,10205,CW-Weeds Vacant Lots,Closed,Low,2024-08-20T10:41:00.000,WEB,,DUPLICATE,Memphis,1557 RAGAN ST,MEMPHIS,Tennessee,048030  00015,,2024-08-20T10:43:33.000,2024-08-29T10:27:33.000,,,1557 RAGAN ST,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.010113982, 35.103663004]}",3,8,6,1,2,7,1,6,,,,117,,,,,,,,,,,,,,,,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7148883,7148883,10205,CW-Weeds Vacant Lots,Closed,Low,2024-08-07T08:30:00.000,WEB,,WEEDS CUT UNBILLABLE,Memphis,1463 N TREZEVANT ST,MEMPHIS,Tennessee,042012  00016,,2024-08-07T08:34:26.000,2024-09-16T10:37:23.000,,,1463 N TREZEVANT ST,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.980293014, 35.17609698]}",3,8,6,1,2,7,1,6,,2024-09-16T00:00:00.000,,39,,2024-08-23T11:55:50.000,,,,,,,,,2024-09-11T02:59:47.000,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7050656,7050656,10396,CE-Code Miscellaneous,Closed,Low,2024-02-02T15:43:00.000,WEB,Sa_GISIdentitystore,CVOM,Memphis,4827 GADWALL DR,MEMPHIS,Tennessee,093719 J00026,3-4,2024-02-02T15:55:34.000,2024-07-17T13:33:54.000,Esri_Anonymous,NOT-CATEGORIZED,4827 GADWALL DR,"{'type': 'Point', 'coordinates': [-89.843526, 35.014313]}","{'type': 'Point', 'coordinates': [-89.845776963, 35.016679007]}",31,10,3,1,8,3,1,8,,2024-07-17T13:33:42.000,38141,207,2,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Inspection-Structures,7074663,7074663,10409,"CE-Substandard,Derelict Struc",Closed,Medium,2024-04-09T19:00:00.000,WEB,Esri_Anonymous,JA,MEMPHIS,3273 STEELE ST,MEMPHIS,TN,070009  00020,,2024-04-10T22:02:00.000,2024-05-03T13:34:33.000,Esri_Anonymous,NOT-CATEGORIZED,3273 STEELE ST,"{'type': 'Point', 'coordinates': [-90.005192, 35.220885]}","{'type': 'Point', 'coordinates': [-90.015410003, 35.215036997]}",23,1,7,1,12,7,1,3,,2024-05-03T13:34:30.000,38127,7,4,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7133656,7133656,10396,CE-Code Miscellaneous,Closed,Low,2024-07-01T16:20:00.000,WEB,Sa_GISIdentitystore,CVOID,Memphis,4981 HIDDEN LAKE LN,MEMPHIS,Tennessee,088008  00184,,2024-07-05T06:37:46.000,2024-07-16T10:11:55.000,Esri_Anonymous,NOT-CATEGORIZED,4981 HIDDEN LAKE LN,"{'type': 'Point', 'coordinates': [-89.9262716, 35.2193801]}","{'type': 'Point', 'coordinates': [-89.896889976, 35.201079997]}",24,2,1,2,25,1,2,3,CVOID - DUPLICATE ENTRY,2024-07-16T10:11:35.000,38128,25,10,2024-08-06T15:53:00.000,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7085131,7085131,10396,CE-Code Miscellaneous,Closed,Low,2024-05-07T09:42:00.000,WEB,Esri_Anonymous,UC,Memphis,3541 MEDITERRANEAN DR,MEMPHIS,Tennessee,073041  00111,3-3,2024-05-07T22:05:23.000,2024-06-18T11:33:40.000,Esri_Anonymous,NOT-CATEGORIZED,3541 MEDITERRANEAN DR,"{'type': 'Point', 'coordinates': [-89.9258359, 35.0439658]}","{'type': 'Point', 'coordinates': [-89.917544997, 35.05212201]}",17,11,3,1,8,3,1,8,,,38118,201,2,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Miscellaneous,7055906,7055906,10396,CE-Code Miscellaneous,Closed,Low,2024-02-16T10:28:00.000,WEB,Sa_GISIdentitystore,DISM,Memphis,1257 SNOWDEN AVE,MEMPHIS,Tennessee,021095  00004,7-4,2024-02-16T10:36:28.000,2024-07-17T06:58:01.000,Esri_Anonymous,NOT-CATEGORIZED,1257 SNOWDEN AVE,"{'type': 'Point', 'coordinates': [-90.0185527, 35.1616219]}","{'type': 'Point', 'coordinates': [-90.016575004, 35.157317997]}",7,7,7,1,6,7,1,4,,2024-03-21T09:36:09.000,38107,59,8,,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Miscellaneous,7068828,7068828,10396,CE-Code Miscellaneous,Closed,Low,2024-03-26T10:57:00.000,WEB,Esri_Anonymous,DISM,Memphis,41 BELZ BLVD,MEMPHIS,Tennessee,050056  00040,6-4,2024-03-26T11:12:59.000,2024-07-17T12:30:48.000,Esri_Anonymous,NOT-CATEGORIZED,41 BELZ BLVD,"{'type': 'Point', 'coordinates': [-90.076108, 35.0396786]}","{'type': 'Point', 'coordinates': [-90.059552961, 35.095312994]}",9,13,6,1,,6,1,7,,,38109,130,,2024-05-07T00:00:00.000,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Miscellaneous,7062827,7062827,10396,CE-Code Miscellaneous,Closed,Low,2024-03-07T11:09:00.000,WEB,Esri_Anonymous,NJ,Memphis,2791 COLEMAN RD,MEMPHIS,Tennessee,088008  00164,,2024-03-07T15:32:35.000,2024-04-08T10:44:11.000,Esri_Anonymous,NOT-CATEGORIZED,2791 COLEMAN RD,"{'type': 'Point', 'coordinates': [-89.9262716, 35.2193801]}","{'type': 'Point', 'coordinates': [-89.913589996, 35.201782987]}",24,2,1,2,25,1,2,3,AT THE TIME OF INSPECTION TENANT STATED VIOLATION WAS CORRECTED.,2024-04-08T10:03:38.000,38128,25,10,2024-03-11T12:02:27.000,,,,,,,,,,,,,,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7148917,7148917,10205,CW-Weeds Vacant Lots,Closed,Low,2024-08-07T08:54:00.000,WEB,,WEEDS CUT UNBILLABLE,Memphis,0 LAUREL,MEMPHIS,Tennessee,029102  00006,,2024-08-07T08:56:26.000,2024-08-29T10:36:25.000,,,0 LAUREL,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-89.906410407, 35.240566544]}",3,8,6,1,2,7,1,6,,,,103,,2024-08-29T00:00:00.000,,,,,,,,,2024-08-22T05:26:39.000,,,,,,,,
Public Works,Code Enforcement,Weeds,7084704,7084704,10547,CE-Weeds Occupied Property,Closed,Medium,2024-05-05T19:00:00.000,WEB,Sa_GISIdentitystore,CVOYC,MEMPHIS,3360 CHRISTINE RD,MEMPHIS,TN,073088 L00010,3-2,2024-05-06T12:31:04.000,2024-07-18T12:08:26.000,Esri_Anonymous,NOT-CATEGORIZED,3360 CHRISTINE RD,"{'type': 'Point', 'coordinates': [-89.9258359, 35.0439658]}","{'type': 'Point', 'coordinates': [-89.951615003, 35.043336016]}",17,11,3,1,8,3,1,8,7/18/24 CVOYC GRASS CUT AT TIME OF INSPECTION,2024-07-18T12:08:05.000,38118,190,2,2024-05-29T00:00:00.000,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,Code Enforcement,Weeds,7086574,7086574,10547,CE-Weeds Occupied Property,Closed,Low,2024-05-09T14:41:00.000,WEB,Esri_Anonymous,CVOYC,Memphis,3801 DUNN RD,MEMPHIS,Tennessee,058086  00020,4-4,2024-05-09T22:03:16.000,2024-07-18T11:33:54.000,Esri_Anonymous,NOT-CATEGORIZED,3801 DUNN RD,"{'type': 'Point', 'coordinates': [-89.948876, 35.11147]}","{'type': 'Point', 'coordinates': [-89.93576298, 35.090003016]}",10,9,4,2,21,5,2,9,,,38111,148,,,4,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
Public Works,GROUNDS MAINTENANCE,Weeds,7156158,7156158,10205,CW-Weeds Vacant Lots,Closed,Low,2024-08-26T10:39:00.000,WEB,,DUPLICATE,Memphis,840 E MCLEMORE AVE,MEMPHIS,Tennessee,014024  00016,,2024-08-26T10:40:41.000,2024-08-28T09:26:43.000,,,840 E MCLEMORE AVE,"{'type': 'Point', 'coordinates': [-90.0521356, 35.1433781]}","{'type': 'Point', 'coordinates': [-90.034138025, 35.115832982]}",3,8,6,1,2,7,1,6,,,,95,,,,,,,,,,,,,,,,,,,
Public Works,Code Enforcement,Weeds,7084429,7084429,10547,CE-Weeds Occupied Property,Closed,Low,2024-05-06T08:21:00.000,WEB,Sa_GISIdentitystore,CVOYC,Memphis,1668 GABAY ST,MEMPHIS,Tennessee,034043  00014C,6-7,2024-05-06T08:30:26.000,2024-07-18T14:14:13.000,Esri_Anonymous,NOT-CATEGORIZED,1668 GABAY ST,"{'type': 'Point', 'coordinates': [-90.038906, 35.105499]}","{'type': 'Point', 'coordinates': [-90.039625992, 35.101355005]}",6,14,6,1,9,6,1,1,07-18-2024 CVOYC VIOLATION CORRECTED AT TIME OF INSPECTION (JN),,38106,125,5,2024-05-23T10:31:23.000,,,,,,,,,,,,,FME_CONDITIONAL:DEFAULT_VALUE'<at>Value<openparen>FULL_ADDRESS<closeparen>'BOOL_OP;AND;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> RANGE <openbracket>0<comma>9<closebracket>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> CONTAINS <comma>'<at>Substring<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><space><comma><space><at>Value<openparen>str_len<closeparen><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;CASE_INSENSITIVE_TEST <at>Value<openparen>FULL_ADDRESS<closeparen> NOT_CONTAINS <comma>'<at>Right<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><space><at>sub<openparen><at>StringLength<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><closeparen><space><comma><space><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><space><quote><closeparen><closeparen><space><closeparen>'BOOL_OP;OR;COMPOSITE_TEST;<Unused>;NUM_TEST <at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma>1<closeparen> NOT_RANGE <openbracket>0<comma>9<closebracket>'<at>Left<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><at>FindString<openparen><at>Value<openparen>FULL_ADDRESS<closeparen><comma><quote><comma><quote><closeparen><closeparen>'FME_NUM_CONDITIONS4___,,,,
